12000x12000x12000	115.180307 s	30.005129 GFLOPS
12000x12000x12000	59.311170 s	58.268957 GFLOPS
12000x12000x12000	59.829854 s	57.763804 GFLOPS
12000x12000x12000	58.947352 s	58.628588 GFLOPS
12000x12000x12000	59.171678 s	58.406321 GFLOPS
12000x12000x12000	59.200072 s	58.378307 GFLOPS
12000x12000x12000	59.053303 s	58.523399 GFLOPS
12000x12000x12000	58.905239 s	58.670503 GFLOPS
12000x12000x12000	58.995247 s	58.580991 GFLOPS
12000x12000x12000	59.150419 s	58.427313 GFLOPS
12000x12000x12000	31.438978 s	109.927239 GFLOPS
12000x12000x12000	29.978930 s	115.280965 GFLOPS
12000x12000x12000	30.524882 s	113.219112 GFLOPS
12000x12000x12000	29.923125 s	115.495960 GFLOPS
12000x12000x12000	30.999561 s	111.485450 GFLOPS
12000x12000x12000	30.454540 s	113.480616 GFLOPS
12000x12000x12000	30.903513 s	111.831947 GFLOPS
12000x12000x12000	30.704884 s	112.555382 GFLOPS
12000x12000x12000	30.724523 s	112.483438 GFLOPS
12000x12000x12000	30.635413 s	112.810621 GFLOPS
12000x12000x12000	30.493084 s	113.337176 GFLOPS
12000x12000x12000	29.904599 s	115.567509 GFLOPS
12000x12000x12000	30.791934 s	112.237186 GFLOPS
12000x12000x12000	29.899199 s	115.588379 GFLOPS
12000x12000x12000	30.550416 s	113.124481 GFLOPS
12000x12000x12000	29.951828 s	115.385276 GFLOPS
12000x12000x12000	30.602780 s	112.930917 GFLOPS
12000x12000x12000	29.639415 s	116.601491 GFLOPS
12000x12000x12000	30.478313 s	113.392101 GFLOPS
12000x12000x12000	30.130986 s	114.699202 GFLOPS
12000x12000x12000	20.521795 s	168.406318 GFLOPS
12000x12000x12000	20.091047 s	172.016923 GFLOPS
12000x12000x12000	20.573120 s	167.986188 GFLOPS
12000x12000x12000	20.111356 s	171.843214 GFLOPS
12000x12000x12000	20.303205 s	170.219428 GFLOPS
12000x12000x12000	20.162983 s	171.403207 GFLOPS
12000x12000x12000	20.145366 s	171.553100 GFLOPS
12000x12000x12000	20.391524 s	169.482179 GFLOPS
12000x12000x12000	20.172339 s	171.323710 GFLOPS
12000x12000x12000	19.874912 s	173.887562 GFLOPS
12000x12000x12000	15.594410 s	221.617870 GFLOPS
12000x12000x12000	15.317168 s	225.629183 GFLOPS
12000x12000x12000	15.808513 s	218.616384 GFLOPS
12000x12000x12000	15.551595 s	222.228005 GFLOPS
12000x12000x12000	15.873339 s	217.723572 GFLOPS
12000x12000x12000	15.452603 s	223.651633 GFLOPS
12000x12000x12000	15.840859 s	218.169991 GFLOPS
12000x12000x12000	15.422721 s	224.084968 GFLOPS
12000x12000x12000	16.568405 s	208.589789 GFLOPS
12000x12000x12000	15.487849 s	223.142667 GFLOPS
12000x12000x12000	10.666834 s	323.994930 GFLOPS
12000x12000x12000	10.533276 s	328.103062 GFLOPS
12000x12000x12000	10.629157 s	325.143391 GFLOPS
12000x12000x12000	10.600268 s	326.029495 GFLOPS
12000x12000x12000	10.639782 s	324.818696 GFLOPS
12000x12000x12000	10.354398 s	333.771223 GFLOPS
12000x12000x12000	22.077501 s	156.539457 GFLOPS
12000x12000x12000	10.602379 s	325.964568 GFLOPS
12000x12000x12000	10.809730 s	319.711972 GFLOPS
12000x12000x12000	10.526148 s	328.325230 GFLOPS
12000x12000x12000	10.749593 s	321.500539 GFLOPS
12000x12000x12000	10.640626 s	324.792912 GFLOPS
12000x12000x12000	10.823668 s	319.300261 GFLOPS
12000x12000x12000	10.500442 s	329.129003 GFLOPS
12000x12000x12000	10.714491 s	322.553833 GFLOPS
12000x12000x12000	10.355251 s	333.743717 GFLOPS
12000x12000x12000	10.532988 s	328.112034 GFLOPS
12000x12000x12000	10.587407 s	326.425549 GFLOPS
12000x12000x12000	10.596932 s	326.132117 GFLOPS
12000x12000x12000	10.594496 s	326.207128 GFLOPS
12000x12000x12000	8.450553 s	408.967320 GFLOPS
12000x12000x12000	8.096398 s	426.856485 GFLOPS
12000x12000x12000	8.390845 s	411.877482 GFLOPS
12000x12000x12000	8.874074 s	389.449084 GFLOPS
12000x12000x12000	8.435954 s	409.675081 GFLOPS
12000x12000x12000	8.292561 s	416.759078 GFLOPS
12000x12000x12000	8.375765 s	412.619039 GFLOPS
