2000x2000x2000	0.073071 s	218.965509 GFLOPS
2000x2000x2000	0.021280 s	751.866202 GFLOPS
2000x2000x2000	0.021612 s	740.344793 GFLOPS
2000x2000x2000	0.021600 s	740.736283 GFLOPS
2000x2000x2000	0.021420 s	746.969184 GFLOPS
2000x2000x2000	0.021846 s	732.392450 GFLOPS
2000x2000x2000	0.022410 s	713.974147 GFLOPS
2000x2000x2000	0.021693 s	737.551717 GFLOPS
2000x2000x2000	0.021470 s	745.238566 GFLOPS
2000x2000x2000	0.027672 s	578.192244 GFLOPS
3000x3000x3000	0.053634 s	1006.831276 GFLOPS
3000x3000x3000	0.046815 s	1153.477682 GFLOPS
3000x3000x3000	0.043912 s	1229.720374 GFLOPS
3000x3000x3000	0.043574 s	1239.262308 GFLOPS
3000x3000x3000	0.044157 s	1222.906396 GFLOPS
3000x3000x3000	0.044027 s	1226.530314 GFLOPS
3000x3000x3000	0.044022 s	1226.657809 GFLOPS
3000x3000x3000	0.042948 s	1257.334012 GFLOPS
3000x3000x3000	0.044292 s	1219.178738 GFLOPS
3000x3000x3000	0.043906 s	1229.894919 GFLOPS
4000x4000x4000	0.076378 s	1675.867221 GFLOPS
4000x4000x4000	0.074853 s	1710.011358 GFLOPS
4000x4000x4000	0.075372 s	1698.240293 GFLOPS
4000x4000x4000	0.075073 s	1705.014757 GFLOPS
4000x4000x4000	0.075033 s	1705.907629 GFLOPS
4000x4000x4000	0.075181 s	1702.551758 GFLOPS
4000x4000x4000	0.074821 s	1710.744077 GFLOPS
4000x4000x4000	0.077386 s	1654.039860 GFLOPS
4000x4000x4000	0.077585 s	1649.812117 GFLOPS
4000x4000x4000	0.074561 s	1716.706516 GFLOPS
5000x5000x5000	0.131954 s	1894.603309 GFLOPS
5000x5000x5000	0.139508 s	1792.009628 GFLOPS
5000x5000x5000	0.138429 s	1805.974494 GFLOPS
5000x5000x5000	0.132833 s	1882.060158 GFLOPS
5000x5000x5000	0.144707 s	1727.623381 GFLOPS
5000x5000x5000	0.138688 s	1802.607148 GFLOPS
5000x5000x5000	0.132907 s	1881.018804 GFLOPS
5000x5000x5000	0.138701 s	1802.435012 GFLOPS
5000x5000x5000	0.137206 s	1822.081072 GFLOPS
5000x5000x5000	0.133034 s	1879.215287 GFLOPS
6000x6000x6000	0.267514 s	1614.870022 GFLOPS
6000x6000x6000	0.251447 s	1718.054492 GFLOPS
6000x6000x6000	0.249647 s	1730.445909 GFLOPS
6000x6000x6000	0.245248 s	1761.482549 GFLOPS
6000x6000x6000	0.243975 s	1770.676389 GFLOPS
6000x6000x6000	0.243529 s	1773.916240 GFLOPS
6000x6000x6000	0.241516 s	1788.702940 GFLOPS
6000x6000x6000	0.237586 s	1818.285306 GFLOPS
6000x6000x6000	0.263573 s	1639.012094 GFLOPS
6000x6000x6000	0.255235 s	1692.559304 GFLOPS
7000x7000x7000	0.413614 s	1658.549870 GFLOPS
7000x7000x7000	0.421702 s	1626.739924 GFLOPS
7000x7000x7000	0.429308 s	1597.919555 GFLOPS
7000x7000x7000	0.433372 s	1582.937185 GFLOPS
7000x7000x7000	0.419232 s	1636.324648 GFLOPS
7000x7000x7000	0.424981 s	1614.190441 GFLOPS
7000x7000x7000	0.416916 s	1645.415695 GFLOPS
7000x7000x7000	0.442939 s	1548.745528 GFLOPS
7000x7000x7000	0.418898 s	1637.628220 GFLOPS
7000x7000x7000	0.452792 s	1515.043043 GFLOPS
8000x8000x8000	0.607159 s	1686.544085 GFLOPS
8000x8000x8000	0.621680 s	1647.149460 GFLOPS
8000x8000x8000	0.615684 s	1663.189615 GFLOPS
8000x8000x8000	0.616062 s	1662.170617 GFLOPS
8000x8000x8000	0.628613 s	1628.984433 GFLOPS
8000x8000x8000	0.620426 s	1650.479692 GFLOPS
8000x8000x8000	0.627410 s	1632.107213 GFLOPS
8000x8000x8000	0.639116 s	1602.213400 GFLOPS
8000x8000x8000	0.658024 s	1556.174945 GFLOPS
8000x8000x8000	0.607983 s	1684.257087 GFLOPS
9000x9000x9000	0.875472 s	1665.386457 GFLOPS
9000x9000x9000	0.884527 s	1648.338138 GFLOPS
9000x9000x9000	0.879361 s	1658.021798 GFLOPS
