LIBRARY	PRECISION	POLICY	PLACES	DIM	GFLOPS	SYNTH
OBLAS	SP	CLOSE	CORE	4000	1692,8896	SP-CLOSE
OBLAS	SP	CLOSE	CORE	5000	1828,9628	SP-CLOSE
OBLAS	SP	CLOSE	CORE	6000	1730,8005	SP-CLOSE
OBLAS	SP	CLOSE	CORE	7000	1606,3494	SP-CLOSE
OBLAS	SP	CLOSE	CORE	8000	1641,3271	SP-CLOSE
OBLAS	SP	CLOSE	CORE	9000	1680,391	SP-CLOSE
OBLAS	SP	CLOSE	CORE	10000	1764,0923	SP-CLOSE
OBLAS	SP	CLOSE	CORE	11000	1716,6859	SP-CLOSE
OBLAS	SP	CLOSE	CORE	12000	1839,2234	SP-CLOSE
OBLAS	SP	CLOSE	CORE	13000	1879,286	SP-CLOSE
OBLAS	SP	CLOSE	CORE	14000	1959,3672	SP-CLOSE
OBLAS	SP	CLOSE	CORE	15000	1971,8051	SP-CLOSE
OBLAS	SP	CLOSE	CORE	16000	2052,3922	SP-CLOSE
OBLAS	SP	CLOSE	CORE	17000	2046,4057	SP-CLOSE
OBLAS	SP	CLOSE	CORE	18000	2256,4985	SP-CLOSE
OBLAS	SP	CLOSE	CORE	19000	2204,9627	SP-CLOSE
OBLAS	SP	CLOSE	CORE	20000	2343,8181	SP-CLOSE
OBLAS	DP	CLOSE	CORE	2000	418,8824	DP-CLOSE
OBLAS	DP	CLOSE	CORE	3000	693,7943	DP-CLOSE
OBLAS	DP	CLOSE	CORE	4000	757,2597	DP-CLOSE
OBLAS	DP	CLOSE	CORE	5000	679,9299	DP-CLOSE
OBLAS	DP	CLOSE	CORE	6000	681,2635	DP-CLOSE
OBLAS	DP	CLOSE	CORE	7000	709,7259	DP-CLOSE
OBLAS	DP	CLOSE	CORE	8000	742,4192	DP-CLOSE
OBLAS	DP	CLOSE	CORE	9000	772,4227	DP-CLOSE
OBLAS	DP	CLOSE	CORE	10000	798,6889	DP-CLOSE
OBLAS	DP	CLOSE	CORE	11000	821,6775	DP-CLOSE
OBLAS	DP	CLOSE	CORE	12000	868,2115	DP-CLOSE
OBLAS	DP	CLOSE	CORE	13000	907,6764	DP-CLOSE
OBLAS	DP	CLOSE	CORE	14000	854,5593	DP-CLOSE
OBLAS	DP	CLOSE	CORE	15000	848,8445	DP-CLOSE
OBLAS	DP	CLOSE	CORE	16000	1017,0373	DP-CLOSE
OBLAS	DP	CLOSE	CORE	17000	883,2358	DP-CLOSE
OBLAS	DP	CLOSE	CORE	18000	850,4893	DP-CLOSE
OBLAS	DP	CLOSE	CORE	19000	866,2764	DP-CLOSE
OBLAS	DP	CLOSE	CORE	20000	978,8775	DP-CLOSE
MKL	SP	CLOSE	CORE	2000	579,5006	SP-CLOSE
MKL	SP	CLOSE	CORE	3000	1239,906	SP-CLOSE
MKL	SP	CLOSE	CORE	4000	1731,3762	SP-CLOSE
MKL	SP	CLOSE	CORE	5000	2061,4443	SP-CLOSE
MKL	SP	CLOSE	CORE	6000	1834,6451	SP-CLOSE
MKL	SP	CLOSE	CORE	7000	1442,1744	SP-CLOSE
MKL	SP	CLOSE	CORE	8000	1264,818	SP-CLOSE
MKL	SP	CLOSE	CORE	9000	1249,329	SP-CLOSE
MKL	SP	CLOSE	CORE	10000	1265,0189	SP-CLOSE
MKL	SP	CLOSE	CORE	11000	1295,4477	SP-CLOSE
MKL	SP	CLOSE	CORE	12000	1323,3439	SP-CLOSE
MKL	SP	CLOSE	CORE	13000	1367,1874	SP-CLOSE
MKL	SP	CLOSE	CORE	14000	1561,6267	SP-CLOSE
MKL	SP	CLOSE	CORE	15000	1355,8643	SP-CLOSE
MKL	SP	CLOSE	CORE	16000	1311,2741	SP-CLOSE
MKL	SP	CLOSE	CORE	17000	1298,3434	SP-CLOSE
MKL	SP	CLOSE	CORE	18000	1622,2012	SP-CLOSE
MKL	SP	CLOSE	CORE	19000	1579,3942	SP-CLOSE
MKL	SP	CLOSE	CORE	20000	1583,3164	SP-CLOSE
MKL	DP	CLOSE	CORE	2000	358,1765	DP-CLOSE
MKL	DP	CLOSE	CORE	3000	665,6702	DP-CLOSE
MKL	DP	CLOSE	CORE	4000	617,9189	DP-CLOSE
MKL	DP	CLOSE	CORE	5000	584,7686	DP-CLOSE
MKL	DP	CLOSE	CORE	6000	564,0085	DP-CLOSE
MKL	DP	CLOSE	CORE	7000	558,0665	DP-CLOSE
MKL	DP	CLOSE	CORE	8000	568,9845	DP-CLOSE
MKL	DP	CLOSE	CORE	9000	579,0568	DP-CLOSE
MKL	DP	CLOSE	CORE	10000	567,0568	DP-CLOSE
