2000x2000x2000	0.156417 s	102.290931 GFLOPS
2000x2000x2000	0.041379 s	386.669314 GFLOPS
2000x2000x2000	0.041458 s	385.932062 GFLOPS
2000x2000x2000	0.041191 s	388.431962 GFLOPS
2000x2000x2000	0.040804 s	392.120044 GFLOPS
2000x2000x2000	0.042253 s	378.675540 GFLOPS
2000x2000x2000	0.040808 s	392.076343 GFLOPS
2000x2000x2000	0.041718 s	383.526474 GFLOPS
2000x2000x2000	0.041447 s	386.031042 GFLOPS
2000x2000x2000	0.041450 s	386.010879 GFLOPS
3000x3000x3000	0.085905 s	628.599825 GFLOPS
3000x3000x3000	0.081615 s	661.645480 GFLOPS
3000x3000x3000	0.084092 s	642.155527 GFLOPS
3000x3000x3000	0.077903 s	693.169257 GFLOPS
3000x3000x3000	0.078101 s	691.410622 GFLOPS
3000x3000x3000	0.079955 s	675.378972 GFLOPS
3000x3000x3000	0.096408 s	560.120265 GFLOPS
3000x3000x3000	0.082271 s	656.363446 GFLOPS
3000x3000x3000	0.081530 s	662.331535 GFLOPS
3000x3000x3000	0.078771 s	685.527518 GFLOPS
4000x4000x4000	0.209540 s	610.861573 GFLOPS
4000x4000x4000	0.201013 s	636.775157 GFLOPS
4000x4000x4000	0.212869 s	601.309193 GFLOPS
4000x4000x4000	0.207445 s	617.032359 GFLOPS
4000x4000x4000	0.213846 s	598.561820 GFLOPS
4000x4000x4000	0.221559 s	577.723506 GFLOPS
4000x4000x4000	0.209962 s	609.634563 GFLOPS
4000x4000x4000	0.199777 s	640.714025 GFLOPS
4000x4000x4000	0.197534 s	647.988627 GFLOPS
4000x4000x4000	0.200442 s	638.587983 GFLOPS
5000x5000x5000	0.431351 s	579.574564 GFLOPS
5000x5000x5000	0.426158 s	586.636771 GFLOPS
5000x5000x5000	0.424539 s	588.873453 GFLOPS
5000x5000x5000	0.426692 s	585.903267 GFLOPS
5000x5000x5000	0.429392 s	582.219177 GFLOPS
5000x5000x5000	0.431942 s	578.781668 GFLOPS
5000x5000x5000	0.424706 s	588.643132 GFLOPS
5000x5000x5000	0.426458 s	586.224050 GFLOPS
5000x5000x5000	0.428362 s	583.618746 GFLOPS
5000x5000x5000	0.425741 s	587.211242 GFLOPS
6000x6000x6000	0.761523 s	567.284443 GFLOPS
6000x6000x6000	0.765387 s	564.420579 GFLOPS
6000x6000x6000	0.765911 s	564.034096 GFLOPS
6000x6000x6000	0.768311 s	562.272212 GFLOPS
6000x6000x6000	0.763157 s	566.069600 GFLOPS
6000x6000x6000	0.762313 s	566.696243 GFLOPS
6000x6000x6000	0.766594 s	563.531476 GFLOPS
6000x6000x6000	0.768479 s	562.149353 GFLOPS
6000x6000x6000	0.768481 s	562.147719 GFLOPS
6000x6000x6000	0.769396 s	561.479349 GFLOPS
7000x7000x7000	1.230654 s	557.427287 GFLOPS
7000x7000x7000	1.227780 s	558.731980 GFLOPS
7000x7000x7000	1.235359 s	555.303968 GFLOPS
7000x7000x7000	1.230895 s	557.317887 GFLOPS
7000x7000x7000	1.225626 s	559.713912 GFLOPS
7000x7000x7000	1.227179 s	559.005781 GFLOPS
7000x7000x7000	1.224950 s	560.022940 GFLOPS
7000x7000x7000	1.218758 s	562.868220 GFLOPS
7000x7000x7000	1.235661 s	555.168638 GFLOPS
7000x7000x7000	1.235805 s	555.103978 GFLOPS
8000x8000x8000	1.797493 s	569.682226 GFLOPS
8000x8000x8000	1.797181 s	569.781245 GFLOPS
8000x8000x8000	1.802019 s	568.251355 GFLOPS
8000x8000x8000	1.794465 s	570.643633 GFLOPS
8000x8000x8000	1.797845 s	569.570698 GFLOPS
