2000x2000x2000	0.026717 s	598.875305 GFLOPS
2000x2000x2000	0.024640 s	649.350149 GFLOPS
2000x2000x2000	0.025929 s	617.079519 GFLOPS
2000x2000x2000	0.024367 s	656.620995 GFLOPS
2000x2000x2000	0.024250 s	659.785979 GFLOPS
2000x2000x2000	0.025462 s	628.382909 GFLOPS
2000x2000x2000	0.025023 s	639.411537 GFLOPS
2000x2000x2000	0.024846 s	643.973186 GFLOPS
2000x2000x2000	0.024292 s	658.643402 GFLOPS
2000x2000x2000	0.025290 s	632.658879 GFLOPS
3000x3000x3000	0.041570 s	1299.016649 GFLOPS
3000x3000x3000	0.043434 s	1243.272085 GFLOPS
3000x3000x3000	0.042309 s	1276.336766 GFLOPS
3000x3000x3000	0.042367 s	1274.572008 GFLOPS
3000x3000x3000	0.041801 s	1291.824276 GFLOPS
3000x3000x3000	0.039837 s	1355.515797 GFLOPS
3000x3000x3000	0.045991 s	1174.145703 GFLOPS
3000x3000x3000	0.043449 s	1242.828877 GFLOPS
3000x3000x3000	0.042340 s	1275.385726 GFLOPS
3000x3000x3000	0.046007 s	1173.724865 GFLOPS
4000x4000x4000	0.075140 s	1703.481202 GFLOPS
4000x4000x4000	0.068766 s	1861.372671 GFLOPS
4000x4000x4000	0.068469 s	1869.465287 GFLOPS
4000x4000x4000	0.076981 s	1662.749182 GFLOPS
4000x4000x4000	0.068597 s	1865.982648 GFLOPS
4000x4000x4000	0.068400 s	1871.342649 GFLOPS
4000x4000x4000	0.077567 s	1650.193481 GFLOPS
4000x4000x4000	0.068504 s	1868.496610 GFLOPS
4000x4000x4000	0.073510 s	1741.269949 GFLOPS
4000x4000x4000	0.067141 s	1906.430201 GFLOPS
5000x5000x5000	0.121893 s	2050.975890 GFLOPS
5000x5000x5000	0.119463 s	2092.701626 GFLOPS
5000x5000x5000	0.122184 s	2046.093762 GFLOPS
5000x5000x5000	0.118154 s	2115.878095 GFLOPS
5000x5000x5000	0.116566 s	2144.711877 GFLOPS
5000x5000x5000	0.120322 s	2077.754839 GFLOPS
5000x5000x5000	0.121335 s	2060.406571 GFLOPS
5000x5000x5000	0.125227 s	1996.379048 GFLOPS
5000x5000x5000	0.118940 s	2101.903652 GFLOPS
5000x5000x5000	0.119489 s	2092.243133 GFLOPS
6000x6000x6000	0.231096 s	1869.355949 GFLOPS
6000x6000x6000	0.239337 s	1804.986991 GFLOPS
6000x6000x6000	0.233228 s	1852.265626 GFLOPS
6000x6000x6000	0.249528 s	1731.265485 GFLOPS
6000x6000x6000	0.251026 s	1720.936211 GFLOPS
6000x6000x6000	0.225314 s	1917.325935 GFLOPS
6000x6000x6000	0.239051 s	1807.145158 GFLOPS
6000x6000x6000	0.235280 s	1836.112984 GFLOPS
6000x6000x6000	0.248938 s	1735.371748 GFLOPS
6000x6000x6000	0.214254 s	2016.294121 GFLOPS
7000x7000x7000	0.469919 s	1459.827590 GFLOPS
7000x7000x7000	0.476719 s	1439.002821 GFLOPS
7000x7000x7000	0.459098 s	1494.234747 GFLOPS
7000x7000x7000	0.467078 s	1468.705460 GFLOPS
7000x7000x7000	0.472435 s	1452.051977 GFLOPS
7000x7000x7000	0.483068 s	1420.090169 GFLOPS
7000x7000x7000	0.455678 s	1505.449697 GFLOPS
7000x7000x7000	0.476754 s	1438.898519 GFLOPS
7000x7000x7000	0.474895 s	1444.528605 GFLOPS
7000x7000x7000	0.474293 s	1446.363272 GFLOPS
8000x8000x8000	0.820124 s	1248.591737 GFLOPS
8000x8000x8000	0.810796 s	1262.956402 GFLOPS
8000x8000x8000	0.805406 s	1271.408830 GFLOPS
8000x8000x8000	0.799076 s	1281.480842 GFLOPS
8000x8000x8000	0.795554 s	1287.153657 GFLOPS
8000x8000x8000	0.805343 s	1271.508602 GFLOPS
8000x8000x8000	0.816036 s	1254.846171 GFLOPS
8000x8000x8000	0.813619 s	1258.573941 GFLOPS
8000x8000x8000	0.794845 s	1288.301989 GFLOPS
8000x8000x8000	0.805367 s	1271.469845 GFLOPS
9000x9000x9000	1.142759 s	1275.859435 GFLOPS
9000x9000x9000	1.137197 s	1282.099878 GFLOPS
9000x9000x9000	1.128976 s	1291.435739 GFLOPS
9000x9000x9000	1.139076 s	1279.984546 GFLOPS
9000x9000x9000	1.145748 s	1272.531571 GFLOPS
9000x9000x9000	1.124616 s	1296.442218 GFLOPS
9000x9000x9000	1.124980 s	1296.022679 GFLOPS
9000x9000x9000	1.125127 s	1295.853203 GFLOPS
