2000x2000x2000	0.065788 s	243.204442 GFLOPS
2000x2000x2000	0.060007 s	266.636252 GFLOPS
2000x2000x2000	0.062354 s	256.599766 GFLOPS
7000x7000x7000	1.452678 s	472.231203 GFLOPS
7000x7000x7000	1.554508 s	441.297236 GFLOPS
7000x7000x7000	1.464909 s	468.288463 GFLOPS
12000x12000x12000	4.600413 s	751.236832 GFLOPS
12000x12000x12000	4.645985 s	743.868098 GFLOPS
12000x12000x12000	4.664755 s	740.874954 GFLOPS
17000x17000x17000	11.878093 s	827.237147 GFLOPS
17000x17000x17000	11.895858 s	826.001806 GFLOPS
17000x17000x17000	11.871439 s	827.700853 GFLOPS
2000x2000x2000	0.063727 s	251.071928 GFLOPS
2000x2000x2000	0.061812 s	258.849913 GFLOPS
2000x2000x2000	0.061100 s	261.864092 GFLOPS
