2000x2000x2000	0.023103 s	692.565560 GFLOPS
2000x2000x2000	0.023963 s	667.700239 GFLOPS
2000x2000x2000	0.022628 s	707.084282 GFLOPS
2000x2000x2000	0.023129 s	691.782254 GFLOPS
2000x2000x2000	0.022079 s	724.655437 GFLOPS
2000x2000x2000	0.024680 s	648.307332 GFLOPS
2000x2000x2000	0.023623 s	677.316882 GFLOPS
2000x2000x2000	0.025048 s	638.767842 GFLOPS
2000x2000x2000	0.024223 s	660.529058 GFLOPS
2000x2000x2000	0.023594 s	678.134831 GFLOPS
3000x3000x3000	0.052724 s	1024.199093 GFLOPS
3000x3000x3000	0.047723 s	1131.521098 GFLOPS
3000x3000x3000	0.047071 s	1147.194704 GFLOPS
3000x3000x3000	0.053401 s	1011.210732 GFLOPS
3000x3000x3000	0.059364 s	909.636385 GFLOPS
3000x3000x3000	0.054419 s	992.295906 GFLOPS
3000x3000x3000	0.050808 s	1062.821154 GFLOPS
3000x3000x3000	0.060074 s	898.893462 GFLOPS
3000x3000x3000	0.068253 s	791.175382 GFLOPS
3000x3000x3000	0.050588 s	1067.448323 GFLOPS
4000x4000x4000	0.106346 s	1203.612832 GFLOPS
4000x4000x4000	0.083533 s	1532.333219 GFLOPS
4000x4000x4000	0.082008 s	1560.828930 GFLOPS
4000x4000x4000	0.079390 s	1612.286002 GFLOPS
4000x4000x4000	0.083825 s	1526.988933 GFLOPS
4000x4000x4000	0.079894 s	1602.132839 GFLOPS
4000x4000x4000	0.080927 s	1581.663381 GFLOPS
4000x4000x4000	0.081181 s	1576.730144 GFLOPS
4000x4000x4000	0.077160 s	1658.891778 GFLOPS
4000x4000x4000	0.083784 s	1527.734091 GFLOPS
5000x5000x5000	0.133210 s	1876.733191 GFLOPS
5000x5000x5000	0.130758 s	1911.925982 GFLOPS
5000x5000x5000	0.129529 s	1930.063769 GFLOPS
5000x5000x5000	0.139374 s	1793.738151 GFLOPS
5000x5000x5000	0.135507 s	1844.927851 GFLOPS
5000x5000x5000	0.132978 s	1880.007174 GFLOPS
5000x5000x5000	0.134851 s	1853.893813 GFLOPS
5000x5000x5000	0.131321 s	1903.732627 GFLOPS
5000x5000x5000	0.133395 s	1874.127523 GFLOPS
5000x5000x5000	0.130004 s	1923.023049 GFLOPS
6000x6000x6000	0.250782 s	1722.615098 GFLOPS
6000x6000x6000	0.244665 s	1765.680079 GFLOPS
6000x6000x6000	0.243452 s	1774.476383 GFLOPS
6000x6000x6000	0.241147 s	1791.439101 GFLOPS
