2000x2000x2000	0.051692 s	309.525921 GFLOPS
2000x2000x2000	0.042071 s	380.311339 GFLOPS
2000x2000x2000	0.041703 s	383.667882 GFLOPS
2000x2000x2000	0.041001 s	390.232928 GFLOPS
2000x2000x2000	0.041783 s	382.934028 GFLOPS
2000x2000x2000	0.041372 s	386.735214 GFLOPS
2000x2000x2000	0.042052 s	380.485245 GFLOPS
2000x2000x2000	0.050708 s	315.532999 GFLOPS
2000x2000x2000	0.043516 s	367.682805 GFLOPS
2000x2000x2000	0.042052 s	380.479174 GFLOPS
3000x3000x3000	0.077997 s	692.335084 GFLOPS
3000x3000x3000	0.080355 s	672.015445 GFLOPS
3000x3000x3000	0.083400 s	647.480074 GFLOPS
3000x3000x3000	0.083517 s	646.578440 GFLOPS
3000x3000x3000	0.090238 s	598.419660 GFLOPS
3000x3000x3000	0.080320 s	672.311703 GFLOPS
3000x3000x3000	0.079792 s	676.759999 GFLOPS
3000x3000x3000	0.085417 s	632.190427 GFLOPS
3000x3000x3000	0.085710 s	630.031119 GFLOPS
3000x3000x3000	0.082121 s	657.564881 GFLOPS
4000x4000x4000	0.209407 s	611.249921 GFLOPS
4000x4000x4000	0.195872 s	653.486781 GFLOPS
4000x4000x4000	0.215282 s	594.569451 GFLOPS
4000x4000x4000	0.212739 s	601.677378 GFLOPS
4000x4000x4000	0.207772 s	616.061350 GFLOPS
4000x4000x4000	0.229138 s	558.615474 GFLOPS
4000x4000x4000	0.202265 s	632.833333 GFLOPS
4000x4000x4000	0.225385 s	567.917644 GFLOPS
4000x4000x4000	0.191703 s	667.699946 GFLOPS
4000x4000x4000	0.204146 s	627.002296 GFLOPS
5000x5000x5000	0.418161 s	597.855565 GFLOPS
5000x5000x5000	0.430365 s	580.902695 GFLOPS
5000x5000x5000	0.429513 s	582.053932 GFLOPS
5000x5000x5000	0.431900 s	578.837106 GFLOPS
5000x5000x5000	0.437271 s	571.727325 GFLOPS
5000x5000x5000	0.437283 s	571.711986 GFLOPS
5000x5000x5000	0.431551 s	579.305194 GFLOPS
5000x5000x5000	0.425353 s	587.747243 GFLOPS
5000x5000x5000	0.435361 s	574.236314 GFLOPS
5000x5000x5000	0.433789 s	576.317068 GFLOPS
6000x6000x6000	0.766793 s	563.385572 GFLOPS
6000x6000x6000	0.762146 s	566.820411 GFLOPS
6000x6000x6000	0.765577 s	564.279976 GFLOPS
6000x6000x6000	0.758479 s	569.561046 GFLOPS
6000x6000x6000	0.775228 s	557.255068 GFLOPS
6000x6000x6000	0.762344 s	566.673150 GFLOPS
6000x6000x6000	0.760036 s	568.394174 GFLOPS
6000x6000x6000	0.761328 s	567.429660 GFLOPS
6000x6000x6000	0.772951 s	558.897224 GFLOPS
6000x6000x6000	0.758611 s	569.462167 GFLOPS
7000x7000x7000	1.229561 s	557.922649 GFLOPS
7000x7000x7000	1.235912 s	555.055799 GFLOPS
7000x7000x7000	1.233752 s	556.027264 GFLOPS
7000x7000x7000	1.230496 s	557.498657 GFLOPS
7000x7000x7000	1.232788 s	556.462413 GFLOPS
7000x7000x7000	1.219765 s	562.403350 GFLOPS
7000x7000x7000	1.235022 s	555.455869 GFLOPS
7000x7000x7000	1.254152 s	546.983161 GFLOPS
7000x7000x7000	1.229592 s	557.908829 GFLOPS
7000x7000x7000	1.235932 s	555.046833 GFLOPS
8000x8000x8000	1.804819 s	567.369977 GFLOPS
