2000x2000x2000	0.061138 s	261.703135 GFLOPS
2000x2000x2000	0.062361 s	256.570284 GFLOPS
2000x2000x2000	0.063066 s	253.702378 GFLOPS
2000x2000x2000	0.063972 s	250.110627 GFLOPS
2000x2000x2000	0.063310 s	252.724241 GFLOPS
2000x2000x2000	0.066471 s	240.706129 GFLOPS
2000x2000x2000	0.070658 s	226.442055 GFLOPS
2000x2000x2000	0.063476 s	252.061890 GFLOPS
2000x2000x2000	0.066875 s	239.251074 GFLOPS
2000x2000x2000	0.063455 s	252.147409 GFLOPS
3000x3000x3000	0.156588 s	344.853919 GFLOPS
3000x3000x3000	0.166479 s	324.364791 GFLOPS
3000x3000x3000	0.152503 s	354.092194 GFLOPS
3000x3000x3000	0.170410 s	316.883286 GFLOPS
3000x3000x3000	0.155574 s	347.101118 GFLOPS
3000x3000x3000	0.153343 s	352.152155 GFLOPS
3000x3000x3000	0.159531 s	338.491635 GFLOPS
3000x3000x3000	0.155705 s	346.809173 GFLOPS
3000x3000x3000	0.167850 s	321.715799 GFLOPS
3000x3000x3000	0.185267 s	291.471349 GFLOPS
4000x4000x4000	0.312418 s	409.707539 GFLOPS
4000x4000x4000	0.317409 s	403.264657 GFLOPS
4000x4000x4000	0.317134 s	403.615133 GFLOPS
4000x4000x4000	0.315863 s	405.239550 GFLOPS
4000x4000x4000	0.315745 s	405.390611 GFLOPS
4000x4000x4000	0.309959 s	412.958276 GFLOPS
4000x4000x4000	0.312178 s	410.021858 GFLOPS
4000x4000x4000	0.308993 s	414.248850 GFLOPS
4000x4000x4000	0.316183 s	404.828672 GFLOPS
4000x4000x4000	0.310114 s	412.751249 GFLOPS
5000x5000x5000	0.568168 s	440.010419 GFLOPS
5000x5000x5000	0.590339 s	423.485477 GFLOPS
5000x5000x5000	0.587327 s	425.657242 GFLOPS
5000x5000x5000	0.572682 s	436.542354 GFLOPS
5000x5000x5000	0.581588 s	429.857919 GFLOPS
5000x5000x5000	0.579270 s	431.577339 GFLOPS
5000x5000x5000	0.573789 s	435.699925 GFLOPS
5000x5000x5000	0.609467 s	410.194636 GFLOPS
5000x5000x5000	0.581052 s	430.254252 GFLOPS
5000x5000x5000	0.589442 s	424.129754 GFLOPS
6000x6000x6000	0.977047 s	442.148710 GFLOPS
6000x6000x6000	0.988761 s	436.910437 GFLOPS
6000x6000x6000	0.987112 s	437.640203 GFLOPS
6000x6000x6000	0.981090 s	440.326659 GFLOPS
6000x6000x6000	0.985030 s	438.565121 GFLOPS
6000x6000x6000	0.975345 s	442.920367 GFLOPS
6000x6000x6000	0.974620 s	443.249458 GFLOPS
6000x6000x6000	0.974944 s	443.102160 GFLOPS
6000x6000x6000	1.031231 s	418.916705 GFLOPS
6000x6000x6000	0.988807 s	436.890316 GFLOPS
7000x7000x7000	1.480348 s	463.404443 GFLOPS
7000x7000x7000	1.465405 s	468.129853 GFLOPS
